id,name,type,level,description,difficulty,aliases,url,resource_type
l2_image_augmentation,图像增广,KnowledgePoint,L2,通过对训练图像进行随机变换（如旋转、裁剪、翻转等）以增加数据多样性，提升模型泛化能力的技术。,基础,"image augmentation,data augmentation",,
l2_fine_tuning,微调预训练模型,KnowledgePoint,L2,在大规模数据集（如ImageNet）上预训练的模型基础上，针对特定任务调整部分或全部参数以提升性能的方法。,中等,"transfer learning,fine-tuning,transfer learning fine-tuning",,
l2_object_detection_and_bounding_boxes,目标检测和边界框,KnowledgePoint,L2,在图像中定位并识别多个对象的任务，通常使用矩形边界框（bounding box）标出每个对象的位置和类别。,中等,"object detection,bounding box detection",,
l2_anchor_boxes,锚框,KnowledgePoint,L2,在目标检测中预定义的一组具有不同尺度和长宽比的参考边界框，用于生成候选区域。,中等,"anchor boxes,reference boxes",,
l2_multi_scale_object_detection,多尺度目标检测,KnowledgePoint,L2,在不同尺度的特征图上检测不同大小的目标，以提升对小目标或大目标的检测性能。,高,multi-scale object detection,,
l2_object_detection_datasets,目标检测数据集,KnowledgePoint,L2,包含带边界框标注的图像数据集，如PASCAL VOC、COCO等，用于训练和评估目标检测模型。,基础,"detection datasets,annotated object datasets",,
l2_single_shot_multibox_detector,单发多框检测（SSD）,KnowledgePoint,L2,一种单阶段目标检测算法，直接在多个尺度的特征图上同时预测类别和边界框偏移。,高,"SSD,Single Shot MultiBox Detector",,
l2_region_based_cnn,区域卷积神经网络（R-CNN）,KnowledgePoint,L2,一种目标检测方法，首先从输入图像中选取若干提议区域，然后使用卷积神经网络对每个区域进行特征提取，并分别预测类别和边界框。,中等,"region-based CNN,Region-based CNN,R-CNN,regions with CNN features,Faster R-CNN,R-CNN family",,
l2_semantic_segmentation_and_datasets,语义分割和数据集,KnowledgePoint,L2,将图像中每个像素分类到对应语义类别的任务，常用数据集包括PASCAL VOC、Cityscapes等。,高,"semantic segmentation,pixel-wise classification",,
l2_transposed_convolution,转置卷积,KnowledgePoint,L2,一种用于上采样的卷积操作，常用于语义分割和生成模型中恢复空间分辨率。,中等,"transposed convolution,deconvolution,fractionally-strided convolution",,
l2_fully_convolutional_networks,全卷积网络,KnowledgePoint,L2,将传统CNN中的全连接层替换为卷积层，使网络能接受任意尺寸输入并输出密集预测，广泛用于语义分割。,高,"Fully Convolutional Networks,FCN,fully convolutional network",,
l2_style_transfer,样式迁移,KnowledgePoint,L2,将一幅图像的内容与另一幅图像的艺术风格相结合，生成具有指定风格的新图像的技术。,中等,"neural style transfer,artistic style transfer,style transfer",,
l2_kaggle_image_classification_cifar10,实战 Kaggle 比赛：图像分类 (CIFAR-10),KnowledgePoint,L2,基于CIFAR-10数据集的图像分类实战项目，涵盖数据预处理、模型构建、训练与评估全流程。,中等,"CIFAR-10 competition,Kaggle CIFAR-10",,
l2_kaggle_dog_breed_identification,实战Kaggle比赛：狗的品种识别（ImageNet Dogs）,KnowledgePoint,L2,使用ImageNet子集（狗类）进行细粒度图像分类的实战项目，涉及迁移学习和数据增强策略。,高,"Dog Breed Identification,Kaggle Dog Breeds,ImageNet Dogs",,
l2_word_embeddings,词嵌入（word2vec）,KnowledgePoint,L2,将词语映射到低维连续向量空间的技术，word2vec 是其中一种经典方法，通过预测上下文或中心词来学习词向量。,中等,"word embeddings,word2vec",,
l2_approximate_training,近似训练,KnowledgePoint,L2,在大规模词表下为提高训练效率而采用的近似计算方法，如负采样和层次 Softmax。,中等,"approximate training,negative sampling,hierarchical softmax",,
l2_word2vec_dataset_preparation,用于预训练词嵌入的数据集准备,KnowledgePoint,L2,将原始文本语料（如PTB）转换为可用于word2vec模型训练的结构化数据，包括读取、构建词表、下采样等步骤。,中等,"pretraining datasets,word2vec dataset preparation,corpora for word embeddings,pretraining dataset for word embeddings",,
l2_pretrained_word2vec,预训练word2vec,KnowledgePoint,L2,使用大规模语料预先训练好的 word2vec 模型，可直接用于下游任务或微调。,基础,"pretrained word2vec,pre-trained word2vec models",,
l2_glove,全局向量的词嵌入（GloVe）,KnowledgePoint,L2,基于全局词共现统计信息构建词向量的无监督学习方法，结合了矩阵分解与局部上下文窗口的优点。,中等,"GloVe,Global Vectors for Word Representation",,
l2_subword_embeddings,子词嵌入,KnowledgePoint,L2,将词拆分为更小的单元（如字符 n-gram 或字节对编码）进行嵌入表示，以解决未登录词问题。,中等,"subword embeddings,character-level embeddings,Byte Pair Encoding (BPE)",,
l2_word_similarity_and_analogy,词的相似性和类比任务,KnowledgePoint,L2,评估词嵌入质量的标准任务，包括计算词之间的语义相似度以及解决如 'king - man + woman = queen' 的类比推理。,基础,"word similarity,word analogy,semantic similarity",,
l2_bert,来自Transformers的双向编码器表示（BERT）,KnowledgePoint,L2,基于 Transformer 编码器架构的深度双向预训练语言模型，通过掩码语言建模和下一句预测任务进行预训练。,高,"BERT,Bidirectional Encoder Representations from Transformers",,
l2_pretraining_datasets_for_bert,用于预训练BERT的数据集,KnowledgePoint,L2,BERT 预训练所使用的大型文本语料，主要包括 BookCorpus 和 English Wikipedia。,基础,"BERT pretraining data,BookCorpus,Wikipedia for BERT",,
l2_pretrained_bert,预训练BERT,KnowledgePoint,L2,在大规模语料上完成预训练的 BERT 模型，可作为多种 NLP 任务的基础模型进行微调。,中等,"pretrained BERT,pre-trained BERT models",,
l2_sentiment_analysis,情感分析,KnowledgePoint,L2,自然语言处理任务，旨在识别和分类文本中表达的情感倾向（如正面、负面、中性）。,基础,"sentiment analysis,opinion mining",,
l2_natural_language_inference,自然语言推断,KnowledgePoint,L2,判断两个句子之间的逻辑关系（如蕴含、矛盾、中立）的自然语言理解任务。,中等,"natural language inference,NLI,textual entailment",,
l2_bert_finetuning,BERT微调,KnowledgePoint,L2,在预训练BERT模型基础上，针对特定下游任务（如序列级或词元级任务）进行参数微调的方法。,高,"BERT fine-tuning,fine-tuning BERT",,
l2_linear_neural_networks,线性神经网络,KnowledgePoint,L2,由线性变换构成的神经网络模型，通常作为深度学习的基础入门结构,基础,"linear neural networks,linear models",,
l2_deep_learning_computation,深度学习计算,KnowledgePoint,L2,涉及深度学习模型中的张量操作、自动微分、GPU加速等计算机制,中等,"deep learning computation,DL computation",,
l2_modern_convolutional_neural_networks,现代卷积神经网络,KnowledgePoint,L2,包括ResNet、DenseNet、Inception等改进架构的先进卷积网络模型,高,"modern CNNs,advanced convolutional networks",,
l2_modern_recurrent_neural_networks,现代循环神经网络,KnowledgePoint,L2,包括GRU、双向RNN等对传统RNN的改进结构，以缓解梯度消失等问题,高,"modern RNNs,advanced recurrent networks",,
l2_computational_performance,计算性能,KnowledgePoint,L2,涉及模型训练和推理过程中的效率优化，包括并行计算、混合精度训练等技术,中等,"computational performance,performance optimization",,
l2_nlp_pretraining,自然语言处理：预训练,KnowledgePoint,L2,基于大规模语料进行模型预训练的技术，如BERT、GPT等,高,"NLP pretraining,pretrained language models",,
l2_nlp_applications,自然语言处理：应用,KnowledgePoint,L2,将预训练模型应用于具体任务，如文本分类、问答系统、机器翻译等,高,"NLP applications,applied NLP",,
l2_softmax_function,softmax函数,KnowledgePoint,L2,将未规范化的预测（logits）转换为非负且总和为1的概率分布的函数，定义为每个指数项除以所有指数项之和。,中等,"softmax,softmax operation",,
l2_cross_entropy_loss,交叉熵损失,KnowledgePoint,L2,用于衡量两个概率分布之间差异的损失函数，在分类任务中常用于度量模型预测与真实标签之间的差距。,中等,"Negative Log Likelihood,Cross-Entropy Loss,Log Loss,cross-entropy loss,log loss",,
l2_full_connected_layer,全连接层,KnowledgePoint,L2,神经网络中每一层的每个神经元都与前一层的所有神经元相连的结构，在softmax回归中用于生成多个输出logits。,基础,"fully connected layer,dense layer",,
l2_information_entropy,信息熵,KnowledgePoint,L2,信息论中用于量化数据中信息内容的指标，定义为概率分布的期望信息量。,中等,"entropy,Shannon entropy",,
l2_classification_accuracy,分类精度,KnowledgePoint,L2,分类模型性能的评估指标，定义为正确预测样本数占总样本数的比例。,基础,"Classification Accuracy,Accuracy",,
l2_fashion_mnist_dataset,Fashion-MNIST数据集,KnowledgePoint,L2,一个由10个服装类别组成的图像分类基准数据集，包含60000张训练图像和10000张测试图像，每张图像为28×28像素的灰度图。,基础,"Fashion-MNIST,fashion mnist",,
l2_data_loading_and_batching,数据加载与批处理,KnowledgePoint,L2,使用数据迭代器从数据集中高效读取小批量样本，并支持随机打乱、多进程加载等优化策略，以提升训练效率。,中等,"data loading,batch processing,data iterator",,
l2_image_preprocessing,图像预处理,KnowledgePoint,L2,"对原始图像数据进行标准化、尺寸调整（resize）和格式转换（如uint8转float32并归一化到[0,1]）等操作，以便输入神经网络模型。",中等,"image preprocessing,data transformation,ToTensor",,
l2_analytical_solution,解析解,KnowledgePoint,L2,通过数学公式直接求得最优参数的方法，适用于如线性回归等简单优化问题。,中等,"analytical solution,closed-form solution",,
l2_normal_distribution,正态分布,KnowledgePoint,L2,一种连续概率分布，也称高斯分布，在线性回归中常用于建模观测噪声。,基础,"normal distribution,Gaussian distribution",,
l2_maximum_likelihood_estimation,极大似然估计,KnowledgePoint,L2,一种参数估计方法，通过最大化观测数据的似然函数来确定模型参数。,中等,"maximum likelihood estimation,MLE",,
l2_neural_network_interpretation,神经网络解释,KnowledgePoint,L2,将线性回归模型视为单层神经网络，包含输入层、全连接层和输出层。,基础,"neural network interpretation,single-layer neural network",,
l2_data_pipeline,数据流水线,KnowledgePoint,L2,用于处理和加载训练数据的流程，包括数据生成、批处理和随机打乱等步骤。,基础,"data pipeline,data loading pipeline",,
l2_data_loader,数据加载器,KnowledgePoint,L2,用于高效读取和批处理训练数据的组件，通常支持打乱、批处理和并行加载等功能。,基础,"data loader,data iterator,dataset loader",,
l2_mean_squared_error,均方误差,KnowledgePoint,L2,衡量预测值与真实值之间差异的损失函数，定义为误差平方的平均值，常用于回归任务。,基础,"mean squared error,MSE,L2 loss",,
l2_neural_network_training_process,神经网络训练过程,KnowledgePoint,L2,神经网络从定义架构、处理数据、指定损失函数到优化参数的完整流程。,中等,"training process,model training",,
l2_text_classification,文本分类,KnowledgePoint,L2,将可变长度的文本序列映射到预定义类别的任务，在情感分析中用于判断文本的情感极性（如积极或消极）。,基础,"text categorization,document classification",,
l2_sequence_padding_truncation,序列填充与截断,KnowledgePoint,L2,将不同长度的文本序列统一为固定长度（如500），通过在末尾填充特殊标记或截断过长序列实现，以便批量处理。,中等,"padding and truncation,sequence length normalization",,
l2_data_iterator_creation,数据迭代器创建,KnowledgePoint,L2,将预处理后的特征和标签封装为可迭代的数据加载器，支持小批量训练和测试。,基础,"data loader creation,iterator construction",,
l2_textcnn,textCNN,KnowledgePoint,L2,一种用于文本分类的卷积神经网络架构，通过一维卷积和最大时间汇聚层从词元序列中提取局部特征（如n元语法）并生成固定长度的表示向量,中等,"TextCNN,text convolutional neural network",,
l2_one_dimensional_convolution,一维卷积,KnowledgePoint,L2,卷积神经网络在自然语言处理中的应用形式，将文本视为一维信号，在词元序列上滑动卷积核以捕获局部上下文特征（如n元语法）,中等,"1D convolution,one-dimensional convolution",,
l2_max_time_pooling,最大时间汇聚层,KnowledgePoint,L2,一种汇聚操作，对每个通道在不同时间步上的值取最大值，从而提取最重要的特征，并允许不同通道具有不同长度的序列,中等,"max-over-time pooling,maximum time pooling",,
l2_n_gram_features,n元语法特征,KnowledgePoint,L2,文本中连续n个词元组成的局部特征，可通过不同宽度的一维卷积核进行捕获,基础,"n-gram features,n-grams",,
l2_pretrained_word_embeddings,预训练词向量,KnowledgePoint,L2,在大规模语料库上预先训练得到的词表示，如GloVe，可用于下游任务以提升模型性能并减少过拟合。,基础,"pretrained embeddings,GloVe embeddings,word embeddings",,
l2_text_sequence_representation,文本序列表示,KnowledgePoint,L2,将变长文本序列通过神经网络编码为固定长度的向量表示，用于分类等下游任务。,中等,"sequence encoding,text representation,sentence embedding",,
l2_sentiment_analysis_with_rnn,基于RNN的情感分析,KnowledgePoint,L2,使用循环神经网络对文本进行情感极性（积极/消极）分类的任务，通常结合预训练词向量和双向结构。,中等,"sentiment classification with RNN,RNN-based sentiment analysis",,
l2_pretrained_text_representations,预训练文本表示,KnowledgePoint,L2,通过在大规模语料上预训练获得的词元或句子的向量表示，可用于下游自然语言处理任务。,中等,"pretrained text representations,contextual embeddings",,
l2_snli_dataset,斯坦福自然语言推断（SNLI）数据集,KnowledgePoint,L2,由50万多个带标签的英语句子对组成的基准数据集，用于自然语言推断任务，包含三类标签：蕴涵、矛盾和中性。,基础,"SNLI dataset,Stanford Natural Language Inference corpus",,
l2_decomposable_attention_model,可分解注意力模型,KnowledgePoint,L2,一种基于注意力机制的自然语言推断模型，通过分解注意力计算降低复杂度，不使用循环或卷积层，在SNLI数据集上以较少参数实现高性能。,高,"Decomposable Attention Model,Parikh模型",,
l2_soft_alignment,软对齐,KnowledgePoint,L2,利用注意力权重对两个文本序列中的词元进行加权平均对齐，而非硬性一对一匹配，常用于自然语言推断中的语义对齐。,中等,"Soft Alignment,Attention-based Alignment",,
l2_bert_pretrained_model_loading,预训练BERT模型加载,KnowledgePoint,L2,从存储中加载预训练的BERT模型及其词表，并初始化模型结构以用于下游任务。,中等,"Loading Pretrained BERT,BERT模型加载",,
l2_bert_input_representation_for_pairs,BERT文本对输入表示,KnowledgePoint,L2,将前提和假设两个文本序列组合成一个BERT可接受的输入格式，包括使用[CLS]、[SEP]标记和片段索引区分两段文本。,中等,"BERT Text Pair Input,双句BERT输入",,
l2_sequence_level_nlp_tasks,序列级自然语言处理任务,KnowledgePoint,L2,将整个输入文本或文本对作为整体进行处理，输出单个标签或连续值的任务，包括单文本分类和文本对分类/回归。,中等,"sequence-level NLP tasks,sentence-level classification",,
l2_token_level_nlp_tasks,词元级自然语言处理任务,KnowledgePoint,L2,对输入序列中的每个词元（token）分别进行标注或预测的任务，如文本标注和问答系统。,中等,"token-level NLP tasks,word-level tagging",,
l2_single_text_classification,单文本分类,KnowledgePoint,L2,以单个文本序列为输入，输出其所属类别标签的任务，例如情感分析和语言可接受性判断。,基础,"single-sentence classification,text classification",,
l2_text_pair_classification_regression,文本对分类或回归,KnowledgePoint,L2,以一对文本为输入，输出离散类别（分类）或连续相似度分数（回归）的任务，如自然语言推断和语义文本相似度评估。,中等,"sentence pair classification,semantic textual similarity,STS",,
l2_text_tagging,文本标注,KnowledgePoint,L2,为输入文本中的每个词元分配标签的任务，典型应用包括词性标注（POS tagging）。,中等,"text tagging,token labeling,POS tagging",,
l2_question_answering,问答,KnowledgePoint,L2,给定一个问题和一段上下文段落，从段落中定位并提取答案片段的任务，通常建模为预测答案起始和结束位置。,高,"question answering,QA,reading comprehension",,
l2_glove_model,GloVe模型,KnowledgePoint,L2,基于全局词共现统计的词嵌入方法，通过最小化加权平方损失函数来学习词向量，利用对称的共现矩阵和偏置项建模词间关系。,中等,"Global Vectors for Word Representation,GloVe",,
l2_word_cooccurrence_statistics,词共现统计,KnowledgePoint,L2,在语料库中统计词语在上下文窗口内共同出现的频率，用于捕捉词汇间的语义关系。,基础,"word co-occurrence counts,global co-occurrence statistics",,
l2_skip_gram_with_global_stats,带全局语料统计的跳元模型,KnowledgePoint,L2,将跳元模型的损失函数改写为基于全局共现计数的形式，使用交叉熵衡量条件分布与模型预测分布之间的差异。,中等,skip-gram with global corpus statistics,,
l2_conditional_probability_ratio,条件概率比值,KnowledgePoint,L2,通过比较两个上下文词在给定中心词下的条件概率之比，揭示词与词之间的语义关系，是GloVe模型设计的重要动机。,中等,"conditional probability ratio,co-occurrence probability ratio",,
l2_fasttext_model,fastText模型,KnowledgePoint,L2,基于跳元模型的子词级词向量学习方法，通过将每个词表示为其所有子词（字符n-gram）向量的和来建模词的内部结构。,中等,"fastText,fastText model",,
l2_byte_pair_encoding,字节对编码,KnowledgePoint,L2,一种基于统计的子词切分算法，通过迭代合并最频繁的连续符号对来构建可变长度的子词词表，广泛用于现代NLP预训练模型的输入表示。,中等,"Byte Pair Encoding,BPE",,
l2_context_sensitive_word_representation,上下文敏感词表示,KnowledgePoint,L2,"词的表征取决于其上下文，形式上为函数f(x, c(x))，其中x是词元，c(x)是其上下文。用于解决一词多义和复杂语义问题。",中等,"context-sensitive word representation,contextualized embeddings",,
l2_bert_architecture,BERT架构,KnowledgePoint,L2,基于Transformer编码器的双向上下文表示模型，结合了ELMo的双向编码能力和GPT的任务无关性，支持多种NLP任务只需最小架构调整。,高,"BERT architecture,Bidirectional Encoder Representations from Transformers",,
l2_bert_input_representation,BERT输入表示,KnowledgePoint,L2,BERT输入序列表示为词元嵌入、片段嵌入和可学习位置嵌入三者的和，支持单文本和文本对输入，并通过<cls>和<sep>特殊标记区分结构。,中等,"BERT input embedding,token-segment-position embedding",,
l2_masked_language_modeling,遮蔽语言模型,KnowledgePoint,L2,BERT的预训练任务之一，通过随机遮蔽输入序列中的部分词元并预测其原始内容，以学习上下文表示能力。,中等,"MLM,Masked Language Modeling,Masked Language Model",,
l2_next_sentence_prediction,下一句预测,KnowledgePoint,L2,BERT的预训练任务之一，判断两个句子是否在原文中连续出现，用于学习句子间的语义关系。,中等,"Next Sentence Prediction,NSP",,
l2_bert_pretraining_dataset,BERT预训练数据集,KnowledgePoint,L2,用于BERT模型预训练的特定格式数据集，支持遮蔽语言模型（MLM）和下一句预测（NSP）两个预训练任务，通常基于如WikiText-2等语料库构建。,中等,"BERT pretraining dataset,预训练语料",,
l2_wikitext_2_corpus,WikiText-2语料库,KnowledgePoint,L2,一个常用于语言模型预训练的小型维基百科文本语料库，保留原始标点、大小写和数字，适合下一句预测任务。,基础,"WikiText-2,wikitext2",,
l2_subsampling,下采样,KnowledgePoint,L2,"对高频词按概率进行丢弃以加速训练并提升低频词的有用性，使用公式 P(w_i) = max(1 - sqrt(t / f(w_i)), 0) 进行采样。",中等,"subsampling,frequency-based subsampling",,
l2_center_context_extraction,中心词和上下文词的提取,KnowledgePoint,L2,从语料中提取跳元模型所需的中心词-上下文词对，通过滑动窗口机制动态生成上下文。,中等,"center-context pair extraction,skip-gram data generation",,
l2_negative_sampling,负采样,KnowledgePoint,L2,在word2vec训练中使用负采样近似softmax，通过按词频的0.75次幂分布采样噪声词来构造负例。,中等,"negative sampling,noise contrastive estimation",,
l2_minibatch_loading_for_word2vec,小批量加载训练实例,KnowledgePoint,L2,将中心词、上下文词和噪声词组织成可变长度的小批量，并通过填充、掩码和标签区分正负例与有效/无效位置。,高,"minibatch loading for skip-gram,word2vec batch processing",,
l2_natural_language_processing,自然语言处理,KnowledgePoint,L2,研究使用自然语言的计算机和人类之间的交互，用于处理和分析文本数据,基础,"Natural Language Processing,NLP",,
l2_self_supervised_learning,自监督学习,KnowledgePoint,L2,利用来自大型语料库的现有文本序列，通过预测文本的隐藏部分来预训练文本表示，无需人工标注标签,中等,self-supervised learning,,
l2_word_embedding,词嵌入,KnowledgePoint,L2,将每个单词或子词表示为向量的技术，包括word2vec、GloVe和子词嵌入模型，但传统方法生成的向量在不同上下文中保持不变,基础,"word embedding,token embedding",,
l2_contextualized_representation,上下文相关表示,KnowledgePoint,L2,使相同词元的表示能够根据上下文动态变化的技术，如基于Transformer编码器的BERT模型,高,"contextualized representation,context-aware embedding",,
l2_pretraining,预训练,KnowledgePoint,L2,在大型语料库上预先训练文本表示，以便后续用于各种自然语言处理任务,中等,"pre-training,language model pretraining",,
l2_one_hot_vector,独热向量,KnowledgePoint,L2,一种将词表示为长度为词典大小N的向量的方法，其中仅对应词索引位置为1，其余为0。不能表达词间相似性。,基础,"one-hot vector,one-hot encoding",,
l2_skip_gram_model,跳元模型,KnowledgePoint,L2,word2vec中的一个模型，假设中心词可以生成其上下文词，通过最大化给定中心词生成上下文词的条件概率来学习词向量。,中等,"skip-gram,skip-gram model",,
l2_cbow_model,连续词袋模型,KnowledgePoint,L2,word2vec中的另一个模型，假设中心词由其上下文词生成，通过对上下文词向量取平均后预测中心词来学习词向量。,中等,"CBOW,continuous bag-of-words model",,
l2_cosine_similarity,余弦相似度,KnowledgePoint,L2,"用于衡量两个向量之间相似性的指标，定义为它们点积除以模长乘积，取值范围为[-1, 1]。",基础,cosine similarity,,
l2_word_similarity,词相似度,KnowledgePoint,L2,基于词向量之间的余弦相似性，为输入词查找语义上最接近的词,基础,"word similarity,semantic similarity",,
l2_word_analogy,词类比,KnowledgePoint,L2,利用词向量的线性关系完成类比任务，如 'man:woman::son:daughter'，通过向量运算 vec(c) + vec(b) - vec(a) 寻找目标词,中等,"word analogy,linguistic analogy",,
l2_hierarchical_softmax,分层softmax,KnowledgePoint,L2,一种用于近似训练词嵌入模型的方法，利用二叉树结构（如霍夫曼树）将词表中的每个词表示为从根到叶的路径，将原始softmax的计算复杂度从O(|V|)降低到O(log|V|)，通过路径上的节点sigmoid概率乘积近似条件概率。,中等,"hierarchical softmax,h-softmax,layered softmax",,
l2_bert_pretraining,BERT预训练,KnowledgePoint,L2,在大规模语料库上对BERT模型进行无监督预训练，通过遮蔽语言建模（MLM）和下一句预测（NSP）两个任务学习上下文敏感的词表示。,高,"BERT pre-training,BERT预训练任务",,
l2_word2vec,word2vec,KnowledgePoint,L2,一种用于生成词嵌入的神经网络模型，通过学习词语在上下文中的分布表示来捕获语义信息,中等,"Word2Vec,word2vec model",,
l2_embedding_layer,嵌入层,KnowledgePoint,L2,将离散的词索引映射为连续的稠密向量表示的神经网络层，其权重矩阵即为词嵌入,基础,"embedding layer,word embedding layer",,
l2_data_parallel_training,数据并行训练,KnowledgePoint,L2,一种分布式训练策略，将训练数据分片到多个设备上，每个设备计算本地梯度，再通过聚合机制同步更新全局模型参数。,中等,"Data Parallelism,Data Parallel Training",,
l2_ring_synchronization,环同步,KnowledgePoint,L2,一种高效的梯度同步算法，将计算节点组织成环形拓扑结构，通过分块并行传输梯度，在O(1)时间内完成全节点梯度聚合。,高,"Ring All-Reduce,Ring Sync,Ring Synchronization",,
l2_multi_machine_training,多机训练,KnowledgePoint,L2,在多台物理机器上进行分布式深度学习训练，涉及跨机器的梯度同步、参数更新和通信协调，通常依赖参数服务器或All-Reduce机制。,高,"Multi-Machine Distributed Training,Cross-Machine Training",,
l2_key_value_store,键值存储,KnowledgePoint,L2,在分布式训练中用于抽象参数同步的机制，通过push（上传梯度）和pull（拉取聚合参数）操作实现对模型参数的分布式管理。,中等,"Key-Value Store,KV Store",,
l2_data_parallelism,数据并行,KnowledgePoint,L2,将输入数据划分为多个子批次，分别在不同设备上并行计算前向传播和反向传播，再聚合梯度更新模型参数。,中等,"data parallelism,batch splitting",,
l2_model_initialization_on_multiple_devices,多设备模型初始化,KnowledgePoint,L2,在多个GPU设备上同步初始化神经网络参数，确保各设备上的模型副本一致。,中等,"multi-device initialization,cross-GPU parameter init",,
l2_model_parallelism,模型并行,KnowledgePoint,L2,将神经网络的不同层分配到不同的GPU上，每个GPU负责一部分网络的计算。,高,"model parallelism,network splitting",,
l2_layer_parallelism,层内并行,KnowledgePoint,L2,在单个层内部（如卷积层或全连接层）将计算任务（如通道或输出单元）分配到多个GPU上。,高,"layer-wise parallelism,intra-layer parallelism",,
l2_allreduce,AllReduce操作,KnowledgePoint,L2,一种在多设备间聚合梯度（求和）并广播回所有设备的同步通信原语，用于数据并行训练中的梯度同步。,中等,"all-reduce,gradient aggregation",,
l2_minibatch_scaling,小批量扩展,KnowledgePoint,L2,在多GPU训练中，将总的小批量大小按GPU数量线性扩展，以保持每个GPU的工作负载均衡，并可能需要调整学习率。,基础,"batch size scaling,linear scaling rule",,
l2_asynchronous_programming,异步编程,KnowledgePoint,L2,一种编程模型，允许前端（如Python）将计算任务提交给后端执行而不必等待其完成，从而提高并行性和整体性能。,中等,"asynchronous programming,async computation",,
l2_frontend_backend_decoupling,前后端解耦,KnowledgePoint,L2,深度学习框架中前端（用户交互层）与后端（计算执行层）分离的设计模式，使控制流和计算流可以异步进行。,中等,"frontend-backend decoupling,decoupled execution model",,
l2_computation_dependency_tracking,计算依赖关系跟踪,KnowledgePoint,L2,后端系统自动追踪操作之间的依赖关系，以确保正确执行顺序，并在无依赖时实现并行化。,中等,"dependency tracking,computation graph dependency",,
l2_blocking_operations,阻塞操作,KnowledgePoint,L2,强制前端等待后端完成特定计算的操作，例如打印张量、转换为NumPy或调用同步函数。,基础,"blocking operations,synchronization points",,
l2_cpu_architecture,CPU架构,KnowledgePoint,L2,中央处理器（CPU）的组成结构，包括核心、缓存、总线和向量处理单元，用于执行机器代码并支持高性能计算。,中等,"CPU architecture,central processing unit",,
l2_gpu_architecture,GPU架构,KnowledgePoint,L2,图形处理器（GPU）的硬件设计，包含大量并行计算核心、高速内存（如GDDR6或HBM）以及专用于深度学习的张量核，用于加速大规模矩阵运算。,中等,"GPU architecture,graphics processing unit",,
l2_memory_hierarchy,内存层次结构,KnowledgePoint,L2,计算机系统中从寄存器、各级缓存（L1/L2/L3）到主存（RAM）和持久存储（SSD/HDD）的分层存储体系，用于平衡访问速度与容量。,中等,"memory hierarchy,cache hierarchy",,
l2_storage_devices,存储设备,KnowledgePoint,L2,包括硬盘驱动器（HDD）、固态驱动器（SSD）和云存储等持久化存储介质，具有不同的带宽、延迟和IOPS特性。,基础,"storage devices,HDD,SSD,NVMe",,
l2_interconnects,互连技术,KnowledgePoint,L2,用于连接计算单元（如CPU、GPU）和外部设备的高速通信总线和网络协议，包括PCIe、以太网、NVLink等。,中等,"interconnects,PCIe,NVLink,Ethernet",,
l2_tensor_cores,张量核,KnowledgePoint,L2,NVIDIA GPU中专为加速小规模矩阵乘加运算（如FP16/INT8）设计的专用硬件单元，显著提升深度学习训练和推理性能。,高,"tensor cores,matrix multiply-accumulate units",,
l2_imperative_programming,命令式编程,KnowledgePoint,L2,使用诸如print、+和if之类的语句来更改程序状态的编程范式，Python是典型的解释型语言，按顺序执行函数体操作。,基础,"imperative programming,eager execution",,
l2_symbolic_programming,符号式编程,KnowledgePoint,L2,在完全定义计算流程后才执行计算的编程范式，通常包括定义流程、编译成可执行程序、再执行。被Theano、TensorFlow等框架采用以提升性能。,中等,"define-and-run,graph-based execution,symbolic programming,static graph",,
l2_hybrid_programming,混合式编程,KnowledgePoint,L2,结合命令式编程的易用性和符号式编程的高效性，在开发调试阶段使用命令式，在部署优化阶段转换为符号式执行。,中等,"hybrid programming,just-in-time compilation,JIT",,
l2_gpu_based_parallel_computation,基于GPU的并行计算,KnowledgePoint,L2,在多个GPU设备上分配计算任务，通过自动调度实现并行执行，从而减少总执行时间。,中等,"GPU-based parallel computation,multi-GPU parallelism",,
l2_parallel_computation_and_communication,并行计算与通信,KnowledgePoint,L2,在不同设备（如CPU和GPU、多个GPU之间）同时进行计算和数据通信，通过重叠计算与通信过程提升整体效率。,高,"parallel computation and communication,computation-communication overlap",,
l2_multi_gpu_computation,多GPU计算,KnowledgePoint,L2,利用多个GPU协同处理深度学习任务，通过数据并行或模型并行加速训练和推理。,高,"multi-GPU computation,distributed GPU training",,
l2_bilinear_interpolation,双线性插值,KnowledgePoint,L2,一种常用的图像上采样方法，通过计算输入图像中最近四个像素点的加权平均来估计输出像素值，也常用于初始化转置卷积层。,基础,"bilinear interpolation,bilinear upsampling",,
l2_semantic_segmentation,语义分割,KnowledgePoint,L2,对图像中的每个像素进行分类，使其归属于特定语义类别的计算机视觉任务。,中等,semantic segmentation,,
l2_fast_rcnn,快速R-CNN（Fast R-CNN）,KnowledgePoint,L2,R-CNN的改进版本，仅对整张图像执行一次卷积神经网络前向传播，并引入兴趣区域汇聚层（RoI pooling）以从不同形状的提议区域中抽取相同形状的特征。,中等,"region proposal network,Fast R-CNN,Faster R-CNN",,
l2_mask_rcnn,掩码R-CNN（Mask R-CNN）,KnowledgePoint,L2,基于Faster R-CNN的扩展模型，引入兴趣区域对齐层和全卷积网络，支持像素级语义分割与目标检测联合任务。,高,Mask R-CNN,,
